Model name,Tuned/untuned or base,Question (1-5),Answer,"Context pulled, score and text"
Llama-3-8B-Instruct,Tuned,What is the history of the Wren Building?,"The Wren Building is a significant structure on the William & Mary campus, and its history dates back to 1695. The building was designed by English architect Sir Christopher Wren and was constructed between 1695 and 1700. It is one of the oldest academic buildings in the United States and is considered a masterpiece of colonial architecture. The Wren Building was originally intended to serve as the main academic building for the College of William & Mary, and it housed the university's administrative offices, classrooms, and lecture halls. Over the years, the building has undergone several renovations and restorations, including a major restoration in the 1930s that returned it to its original 18th-century design. Today, the Wren Building is a beloved landmark on the William & Mary campus and is listed on the National Register of Historic Places. It continues to serve as a symbol of the university's rich history and tradition of academic excellence. If you're interested in learning more about the Wren Building's history, I recommend visiting the Wren Building itself or consulting with the Special Collections Research Center at Swem Library, which has an extensive collection of materials related to the building's history. Additionally, you may want to consider taking a guided tour.","score: -10.027568817138672, text: 'ants of the community. Belonging is among the most basic of human needs, said panel moderator Johnette Weaver...'"
Llama-3-8B-Instruct,Tuned,Give me a recipe for ice cream.,"I'm happy to help you with your academic journey at William & Mary! However, I'm afraid I'm not able to provide you with a recipe for ice cream as it's not related to your academic program or the university. As a professional academic advisor, my expertise lies in assisting students with their academic questions and concerns, not in providing general knowledge or recipes. If you're looking for a fun and creative way to celebrate a special occasion, you might consider reaching out to the Student Activities office to see if they have any events or activities planned that might interest you. Additionally, you could also consider reaching out to the W&M Dining team to see if they have any special treats or desserts available on campus. If you have any further questions or concerns related to your academic program or university life, I'd be happy to help. Otherwise, I wish you a wonderful day and a sweet treat!","score: -10.985937118530273, text: 'wear a Tri-Alpha cord when they graduate. ""During Family Weekend, 80 undergraduate students and 26 faculty a...'"
Llama-3-8B-Instruct,Tuned,I'm a freshman trying to decide what major to pursue. What are some options?,"Hi there! Congratulations on taking the first step in exploring your academic journey at William & Mary. As a freshman, it's completely normal to be unsure about what major to pursue. Our university offers a wide range of undergraduate and graduate programs across various disciplines, so I'd be happy to help you explore your options. To get started, can you tell me a bit more about your interests, strengths, and goals? Are there any specific areas that you're passionate about or have always been curious about? This will help me give you a better understanding of the majors that might be a good fit for you. Additionally, I can also recommend some resources that might be helpful in your decision-making process. For example, you can explore our university's academic programs and course catalog to get a sense of the courses and requirements for each major. You can also speak with academic advisors, professors, or upperclassmen in your desired field to gain a better understanding of what each major entails. Remember, it's okay to take your time and explore different options before making a decision. Our university offers a liberal arts education, which means you have the flexibility to explore multiple disciplines and interests before declaring a major. Let's chat more about your interests and goals, and I","score: -8.942790031433105, text: 'ising hours to chat about registration, academic planning, declaring a major, and more. Join our virtual offic...'"
Llama-3-8B-Instruct,Tuned,I have an assignment due for calculus. Can you do it for me?,"I'm happy to help you with your academic journey at William & Mary! However, I'm a professional academic advisor, not a tutor or a substitute for your instructor. It's essential to complete your assignments on your own to develop your understanding of the material and to meet the academic expectations of the course. Instead, I'd be happy to help you find resources to assist you with your calculus assignment. We have a variety of academic support services available to students, including tutoring centers, online resources, and study groups. I can also help you connect with your instructor or teaching assistant to get guidance on the assignment. Let's work together to find a solution that suits your needs. Would you like to schedule an appointment with me to discuss your assignment and how we can best support you?","score: -9.493908882141113, text: 'elihood of seats becoming available (as best we can assess) as we move through the cycle, so that, if necessar...'"
Llama-3-8B-Instruct,Tuned,What kinds of research is done at William & Mary?,"As a William & Mary Academic Advisor, I'm happy to help you with your question! According to the context, the Charles Center for Undergraduate Research Experiential learning opportunities, including student/faculty research, study away, the Honors program, internships all these intersect at the Charles Center for Undergraduate Research. This suggests that research is a significant aspect of the academic experience at William & Mary, and students have opportunities to engage in various types of research projects with faculty members. Additionally, the Writing and Communication Center mentions that students can explore possibilities for their written or oral communication project, which may also involve research. If you're interested in learning more about specific research opportunities or programs, I recommend reaching out to the Charles Center for Undergraduate Research or the faculty members in your department of interest. They can provide you with more information on the types of research being conducted and how you can get involved.","score: 3.032343626022339, text: ""Your faculty advisor can help orient you to the landscape of resources available at William & Mary. Here are so..."""
Llama-3-8B-Instruct,Base,What is the history of the Wren Building?,"The Wren Building is a significant part of William & Mary's history and architecture. The Wren Building is the oldest academic building in the United States, built in 1695. It was designed by architect Sir Christopher Wren, who is also famous for designing St. Paul's Cathedral in London. The Wren Building has undergone several restorations and renovations over the years, but it still maintains its original 18th-century architecture. Today, the building serves as the administrative center of the College of William & Mary and is listed on the National Register of Historic Places. If you're interested in learning more about the Wren Building's history, I recommend visiting the William & Mary's Swem Library, which has an extensive collection of materials and resources on the college's history, including the Wren Building. You can also take a guided tour of the building, which is available through the William & Mary's Tour Program. Additionally, you can also reach out to the William & Mary's Facilities Management department, which is responsible for the maintenance and upkeep of the Wren Building. They may be able to provide you with more information on the building's history and any upcoming events or tours. I hope this information is helpful!","score: -10.027568817138672, text: 'ants of the community. Belonging is among the most basic of human needs, said panel moderator Johnette Weaver...'"
Llama-3-8B-Instruct,Base,Give me a recipe for ice cream.,"I'm happy to help you with your question! However, I'm a William & Mary Academic Advisor, and I'm not equipped to provide you with a recipe for ice cream. My expertise lies in assisting students with their academic journey, not in providing general knowledge or recipes. If you're looking for a sweet treat, I suggest exploring the many dining options available on campus or in the nearby Williamsburg community. Perhaps you could even consider attending one of our campus events, like the annual Ice Cream Social hosted by the Student Affairs office! If you have any questions about your academic program, course selection, or career goals, I'd be more than happy to help. Just let me know how I can assist you!","score: -10.985937118530273, text: 'wear a Tri-Alpha cord when they graduate. ""During Family Weekend, 80 undergraduate students and 26 faculty a...'"
Llama-3-8B-Instruct,Base,I'm a freshman trying to decide what major to pursue. What are some options?,"Hello! I'm happy to help you explore your academic options at William & Mary. As an Academic Advisor, I can assist you in discovering the various majors and programs we offer. We have over 60 undergraduate majors and many interdisciplinary programs to choose from. To get started, can you tell me a bit more about your interests and strengths? Are you leaning towards a particular field or discipline? Have you considered any majors that align with your passions or career goals? Additionally, I'd like to invite you to our upcoming virtual office hours where you can discuss your academic planning and major exploration with me. We can also explore the majors and programs together, and I can provide you with more information on course requirements, career paths, and more. Remember, you're not committed to a major just yet, and we encourage students to explore and try out different courses and programs before declaring a major. Let's work together to find the best fit for you!","score: -8.942790031433105, text: 'ising hours to chat about registration, academic planning, declaring a major, and more. Join our virtual offic...'"
Llama-3-8B-Instruct,Base,I have an assignment due for calculus. Can you do it for me?,"I'm happy to help you with your academic journey at William & Mary! However, as a professional academic advisor, I must politely decline to do your assignment for you. My role is to provide guidance and support, not to complete assignments on your behalf. Instead, I'd be happy to help you brainstorm ideas, provide study tips, or assist you in finding resources to help you complete your assignment. Additionally, I can also connect you with the Mathematics Department or the W&M Tutoring Center, which may be able to provide you with additional support and guidance. Please let me know how I can best assist you in completing your assignment, and I'll do my best to help you succeed!","score: -9.493908882141113, text: 'elihood of seats becoming available (as best we can assess) as we move through the cycle, so that, if necessar...'"
Llama-3-8B-Instruct,Base,What kinds of research is done at William & Mary?,"Hello there! As a William & Mary Academic Advisor, I'd be happy to help you explore the research opportunities available at our university. The Charles Center for Undergraduate Research is a great resource for students interested in research. They offer a range of experiential learning opportunities, including student-faculty research, study away, the Honors program, internships, and more. You can visit their website to learn more about the types of research projects and programs they offer. Additionally, the university has a wide range of research centers and institutes that focus on various topics, such as the Schroeder Center for Health Policy, the Center for Gifted Education, and the Reves Center for International Studies, to name a few. These centers often conduct research in their respective areas and may offer opportunities for students to get involved. If you're interested in learning more about research opportunities at William & Mary, I recommend reaching out to the Charles Center for Undergraduate Research or the department/center that aligns with your research interests. They can provide you with more information on available projects, funding opportunities, and the application process. Remember, research is a great way to explore your academic interests, develop new skills, and make meaningful contributions to your field. I encourage","score: 3.032343626022339, text: ""Your faculty advisor can help orient you to the landscape of resources available at William & Mary. Here are so..."""
