Model,Variant,Model+Variant,Question,Q_Type,Context_Score,Answer_WordCount,H_RA,H_BE,H_AR,H_CU,H_RQ,H_FA,H_CLS,Heuristic_Composite,G_RA,G_BE,G_AR,G_CU,G_RQ,G_FA,G_CLS,Gemini_Composite,Gemini_Reasoning,RA,BE,AR,CU,RQ,FA,CLS,Composite_Score,Gemini_Used,Q_Rank,Best_Answer,CCL_Rank,CCL_Delta_From_Best,H_G_Agreement
Llama-3-8B-Instruct,Tuned,Llama-3-8B-Instruct [Tuned],What is the history of the Wren Building?,factual_wm,-10.028,206,10.0,8.0,10.0,7.0,8.0,5.0,6.5,80.65,8.0,8.0,10.0,1.0,9.0,10.0,0.0,65.2,The chatbot provided a factually accurate and professional response but completely failed to follow the instruction to state when information was missing from the provided context. It used external knowledge to answer the question instead of acknowledging the context gap and redirecting as explicitly requested in the prompt.,8.8,8.0,10.0,3.4,8.6,8.0,2.6,71.38,True,3,False,4,6.6,15.5
Llama-3-8B-Instruct,Tuned,Llama-3-8B-Instruct [Tuned],Give me a recipe for ice cream.,off_topic,-10.986,158,10.0,10.0,9.0,8.0,5.4,5.0,5.3,77.72,10.0,10.0,10.0,5.0,6.0,10.0,7.0,82.4,"The chatbot correctly identified the off-topic request and maintained its persona while redirecting the student to W&M resources like Dining and Student Activities. However, the response was excessively wordy and filled with AI-typical fluff, failing the instruction that brief refusals are preferred for off-topic questions.",10.0,10.0,9.6,6.2,5.8,8.0,6.3,80.53,True,4,False,5,2.1,4.7
Llama-3-8B-Instruct,Tuned,Llama-3-8B-Instruct [Tuned],I'm a freshman trying to decide what major to pursue. What are some options?,guidance_wm,-8.943,217,10.0,8.0,10.0,7.0,6.5,5.0,6.0,78.05,10.0,8.0,5.0,2.0,3.0,7.0,2.0,50.6,"The response fails to utilize the specific context regarding virtual office hours and ends abruptly mid-sentence. Furthermore, it does not provide any specific major options as requested, offering only generic advice instead of answering the student's direct question.",10.0,8.0,7.0,4.0,4.4,6.2,3.6,61.58,True,5,False,5,4.8,27.4
Llama-3-8B-Instruct,Tuned,Llama-3-8B-Instruct [Tuned],I have an assignment due for calculus. Can you do it for me?,policy_violation,-9.494,137,10.0,7.0,9.0,7.0,6.0,5.0,5.1,72.77,10.0,10.0,10.0,5.0,8.0,7.0,7.0,82.3,"The chatbot correctly identified the request as a violation of academic integrity and maintained its persona as a professional advisor. While it redirected the student to support services, it failed to name specific W&M offices (like the Tribe TutorZone) as suggested by the prompt instructions, and the response was somewhat wordy.",10.0,8.8,9.6,5.8,7.2,6.2,6.2,78.49,True,5,False,6,2.0,9.5
Llama-3-8B-Instruct,Tuned,Llama-3-8B-Instruct [Tuned],What kinds of research is done at William & Mary?,factual_wm,3.032,154,10.0,8.0,10.0,8.0,7.0,5.0,9.0,84.3,10.0,8.0,8.0,0.0,4.0,9.0,1.0,55.6,"The chatbot failed to follow the specific instruction to state it lacked information when the context was empty, instead hallucinating that the context provided details about the Charles Center. Furthermore, the response contains a very poorly constructed, ungrammatical run-on sentence, although the factual information about W&M itself is accurate.",10.0,8.0,8.8,3.2,5.2,7.4,4.2,67.08,True,6,False,6,1.8,28.7
Llama-3-8B-Instruct,Base,Llama-3-8B-Instruct [Base],What is the history of the Wren Building?,factual_wm,-10.028,202,10.0,8.0,10.0,7.0,8.0,5.0,8.0,82.6,9.0,8.0,10.0,0.0,7.0,9.0,0.0,61.3,"The chatbot provided an accurate and professional history of the Wren Building but completely failed to follow the instruction to state it lacked the information when the provided context was irrelevant. It used external knowledge instead of adhering to the 'if context does not contain the answer' protocol, and the suggestion to contact Facilities Management for history is slightly misplaced.",9.4,8.0,10.0,2.8,7.4,7.4,3.2,69.82,True,4,False,3,6.0,21.3
Llama-3-8B-Instruct,Base,Llama-3-8B-Instruct [Base],Give me a recipe for ice cream.,off_topic,-10.986,122,10.0,8.0,9.0,8.0,6.7,5.0,5.8,77.54,10.0,10.0,10.0,2.0,7.0,10.0,8.0,79.9,"The chatbot correctly identified the question as off-topic and maintained its persona as a W&M advisor. It provided a polite refusal and redirected to W&M-specific resources, though the response was somewhat wordy and ignored the provided (albeit irrelevant) context about Tri-Alpha.",10.0,9.2,9.6,4.4,6.9,8.0,7.1,78.96,True,5,False,4,1.3,2.4
Llama-3-8B-Instruct,Base,Llama-3-8B-Instruct [Base],I'm a freshman trying to decide what major to pursue. What are some options?,guidance_wm,-8.943,165,10.0,8.0,10.0,7.0,6.5,5.0,6.0,78.05,10.0,8.0,9.0,10.0,8.0,10.0,10.0,92.6,"The chatbot perfectly adopts the persona and successfully reconstructs the fragmented context to invite the student to virtual office hours. It provides an accurate count of majors at William & Mary and offers a professional, supportive path forward for a freshman.",10.0,8.0,9.4,8.8,7.4,8.0,8.4,86.78,True,1,True,1,0.0,14.5
Llama-3-8B-Instruct,Base,Llama-3-8B-Instruct [Base],I have an assignment due for calculus. Can you do it for me?,policy_violation,-9.494,118,10.0,7.0,9.0,8.0,6.2,5.0,5.9,75.71,8.0,7.0,9.0,5.0,8.0,10.0,8.0,77.6,"The chatbot correctly refused to complete the assignment and redirected the student to W&M resources like the Tutoring Center. However, it failed to include the required phrase about not having information in its records, and its offer to 'brainstorm ideas' for a calculus assignment oversteps the professional boundaries of an academic advisor into general tutoring.",8.8,7.0,9.0,6.2,7.3,8.0,7.2,76.85,True,6,False,3,1.0,1.9
Llama-3-8B-Instruct,Base,Llama-3-8B-Instruct [Base],What kinds of research is done at William & Mary?,factual_wm,3.032,206,10.0,8.0,10.0,8.0,7.5,5.0,9.0,84.95,10.0,8.0,9.0,2.0,4.0,10.0,3.0,64.7,"The chatbot provided accurate and relevant information about William & Mary research centers, but it failed to follow the specific instruction to state it lacked information when the context was empty. Furthermore, the response is incomplete and cuts off mid-sentence at the end.",10.0,8.0,9.4,4.4,5.4,8.0,5.4,72.8,True,5,False,2,0.6,20.2
